Property,b,c,d,01
Rp/Rs,0.0258,0.0304,0.0401,0.0371
Rp/Rs_u_err,0.0017,0.0017,0.0012,0.0016
Rp/Rs_l_err,0.0016,0.0017,0.0011,0.0016
Inclination,88.1738,88.5103,89.7469,89.1926
Inclination_u_err,0.7095,0.3261,0.2255,0.0243
Inclination_l_err,0.4264,0.2282,0.2427,0.0211
Epoch,2988.312,2990.7685,2993.1727,3004.8649
Epoch_u_err,0.0032,0.0032,0.0027,0.0063
Epoch_l_err,0.0032,0.0034,0.0026,0.0065
Period,3.0716,4.868,11.0236,26.5853
Period_u_err,0.0002,0.0004,0.0008,0.0054
Period_l_err,0.0002,0.0004,0.0009,0.0052
Rp,1.29,1.51,1.99,1.85
a,15.4,21.0,36.2,65.1
