Property,b,c,d,01
Rp/Rs,0.0259,0.0314,0.0393,0.0371
Rp/Rs_u_err,0.0019,0.0019,0.0013,0.0016
Rp/Rs_l_err,0.0017,0.0018,0.0012,0.0016
Inclination,88.3736,88.4121,89.7195,89.1935
Inclination_u_err,1.0362,0.3041,0.2485,0.0238
Inclination_l_err,0.545,0.2147,0.2554,0.0203
Epoch,2988.3135,2990.7691,2993.1724,3004.8651
Epoch_u_err,0.0037,0.0031,0.0027,0.006
Epoch_l_err,0.0037,0.0032,0.0027,0.0065
Period,3.0715,4.8678,11.024,26.5854
Period_u_err,0.0002,0.0004,0.0009,0.005
Period_l_err,0.0002,0.0004,0.0009,0.0048
Rp,1.29,1.56,1.96,1.85
a,15.4,21.0,36.2,65.1
