Property,b,c,d,01
Rp/Rs,0.0248,0.0302,0.038,0.037
Rp/Rs_u_err,0.0009,0.0008,0.0006,0.0014
Rp/Rs_l_err,0.0009,0.0008,0.0005,0.0015
Inclination,87.5664,88.1363,89.478,89.1654
Inclination_u_err,0.172,0.0845,0.0875,0.0089
Inclination_l_err,0.1472,0.0758,0.0747,0.0077
Epoch,2988.3133,2990.769,2993.172,3004.8655
Epoch_u_err,0.0017,0.0013,0.0012,0.0026
Epoch_l_err,0.0017,0.0013,0.0012,0.0027
Period,3.0715,4.8678,11.0242,26.5852
Period_u_err,0.0001,0.0002,0.0004,0.0022
Period_l_err,0.0001,0.0002,0.0004,0.002
Rp,1.25,1.52,1.91,1.86
a,15.3,20.9,36.0,64.7
