Property,b,c,d,01
Rp/Rs,0.0264,0.0312,0.0396,0.0368
Rp/Rs_u_err,0.0017,0.0023,0.0012,0.0013
Rp/Rs_l_err,0.0015,0.0019,0.0011,0.0016
Inclination,88.1173,88.3392,89.5132,89.1929
Inclination_u_err,0.5663,0.27,0.2722,0.0247
Inclination_l_err,0.3629,0.1894,0.1778,0.0206
Epoch,2988.3148,2990.7693,2993.173,3004.8687
Epoch_u_err,0.0045,0.0034,0.0027,0.0054
Epoch_l_err,0.0035,0.0036,0.0025,0.0062
Period,3.0714,4.8678,11.0235,26.5825
Period_u_err,0.0003,0.0004,0.0006,0.005
Period_l_err,0.0003,0.0004,0.0006,0.0048
Rp,1.33,1.57,1.99,1.85
a,15.4,21.0,36.2,65.1
