Property,b,c,d,01
Rp/Rs,0.0262,0.0314,0.0391,0.0366
Rp/Rs_u_err,0.0007,0.0007,0.0005,0.0014
Rp/Rs_l_err,0.0008,0.0007,0.0005,0.0014
Inclination,87.6949,88.2986,89.6695,89.1833
Inclination_u_err,0.1681,0.0845,0.17,0.0105
Inclination_l_err,0.1416,0.0777,0.1035,0.0092
Epoch,2988.315,2990.7681,2993.172,3004.8633
Epoch_u_err,0.0017,0.0012,0.0011,0.0027
Epoch_l_err,0.0016,0.0012,0.0011,0.003
Period,3.0714,4.8678,11.0243,26.5861
Period_u_err,0.0001,0.0001,0.0003,0.0022
Period_l_err,0.0001,0.0001,0.0004,0.0021
Rp,1.31,1.58,1.96,1.84
a,15.3,20.9,36.0,64.7
