Property,b,c,d,01
Rp/Rs,0.0256,0.03,0.0403,0.0373
Rp/Rs_u_err,0.0015,0.0017,0.0014,0.001
Rp/Rs_l_err,0.0014,0.0018,0.0013,0.001
Inclination,88.26,88.5326,89.5236,89.1933
Inclination_u_err,0.8,0.3567,0.2482,0.0231
Inclination_l_err,0.4574,0.2053,0.138,0.0807
Epoch,2988.3125,2990.7691,2993.1737,3004.8609
Epoch_u_err,0.0028,0.0033,0.0022,0.0053
Epoch_l_err,0.0033,0.0035,0.0025,0.0048
Period,3.0715,4.8679,11.0233,26.5882
Period_u_err,0.0002,0.0004,0.0007,0.004
Period_l_err,0.0002,0.0004,0.0007,0.0036
Rp,1.29,1.51,2.02,1.87
a,15.4,21.0,36.2,65.1
